name,city,district,department,specialty,address,phone,website,verified
Beijing Anding Hospital,Beijing,Xicheng,Psychiatry,Mental health services,,,,needs verification
Peking University Sixth Hospital,Beijing,Haidian,Psychiatry,Mental health services,,,,needs verification
Shanghai Mental Health Center,Shanghai,Xuhui,Psychiatry,Mental health services,,,,needs verification
Changchun Mental Health Center,Changchun,,Psychiatry,Mental health services,,,,needs verification
Hunan Mental Health Center,Changsha,,Psychiatry,Mental health services,,,,needs verification
Chengdu Mental Health Center,Chengdu,,Psychiatry,Mental health services,,,,needs verification
Chongqing Mental Health Center,Chongqing,,Psychiatry,Mental health services,,,,needs verification
Dalian Seventh People's Hospital,Dalian,,Psychiatry,Mental health services,,,,needs verification
Fuzhou Neuro-Psychiatric Hospital,Fuzhou,,Psychiatry,Mental health services,,,,needs verification
Guangzhou Brain Hospital,Guangzhou,,Psychiatry,Mental health services,,,,needs verification
Guizhou Mental Health Center,Guiyang,,Psychiatry,Mental health services,,,,needs verification
Hangzhou Seventh People's Hospital,Hangzhou,,Psychiatry,Mental health services,,,,needs verification
Harbin Mental Health Hospital,Harbin,,Psychiatry,Mental health services,,,,needs verification
Anhui Mental Health Center,Hefei,,Psychiatry,Mental health services,,,,needs verification
Jinan Mental Health Center,Jinan,,Psychiatry,Mental health services,,,,needs verification
Kunming Mental Health Hospital,Kunming,,Psychiatry,Mental health services,,,,needs verification
Lanzhou Third People's Hospital,Lanzhou,,Psychiatry,Mental health services,,,,needs verification
Jiangxi Mental Health Center,Nanchang,,Psychiatry,Mental health services,,,,needs verification
Nanjing Brain Hospital,Nanjing,,Psychiatry,Mental health services,,,,needs verification
Guangxi Mental Health Center,Nanning,,Psychiatry,Mental health services,,,,needs verification
Qingdao Mental Health Center,Qingdao,,Psychiatry,Mental health services,,,,needs verification
Shenzhen Kangning Hospital,Shenzhen,,Psychiatry,Mental health services,,,,needs verification
Hebei Mental Health Center,Shijiazhuang,,Psychiatry,Mental health services,,,,needs verification
Shanxi Mental Health Center,Taiyuan,,Psychiatry,Mental health services,,,,needs verification
Tianjin Anding Hospital,Tianjin,,Psychiatry,Mental health services,,,,needs verification
Xinjiang Mental Health Center,Urumqi,,Psychiatry,Mental health services,,,,needs verification
Wuhan Mental Health Center,Wuhan,,Psychiatry,Mental health services,,,,needs verification
Xiamen Xianyue Hospital,Xiamen,,Psychiatry,Mental health services,,,,needs verification
Xi'an Mental Health Center,Xi'an,,Psychiatry,Mental health services,,,,needs verification
Henan Mental Health Center,Zhengzhou,,Psychiatry,Mental health services,,,,needs verification
